acl 2.3.1-2
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-1
lib32-mesa 22.1.0-1
lib32-ncurses 6.3-1
lib32-openssl 1:1.1.1.n-1
lib32-pam 1.5.2-1
lib32-pipewire 1:0.3.51-1
lib32-pipewire-jack 1:0.3.51-1
lib32-readline 8.1.002-1
lib32-systemd 251.2-1
lib32-vulkan-icd-loader 1.3.213-1
lib32-wayland 1.20.0-2
lib32-xz 5.2.5-2
lib32-zlib 1.2.12-1
lib32-zstd 1.5.2-1
libarchive 3.6.1-1
libass 0.15.2-2
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-1
libavc1394 0.5.4-4.1
libavif 0.10.1-1
libbluray 1.3.0-2
libbpf 0.7.0-1
libcap 2.64-1
libcap-ng 0.8.3-1
libcloudproviders 0.3.1-2
libcolord 1.4.6-1
libconfig 1.7.3-1
libcups 1:2.4.2-1
libdaemon 0.14-5.1
libdatrie 0.2.13-1
libde265 1.0.8-2
libdrm 2.4.110-1
libedit 20210910_3.1-1
libelf 0.187-1
libelogind 246.10-7
libepoxy 1.5.10-1.1
libev 4.33-1.1
libevdev 1.12.1-1
libexif 0.6.24-1
libfdk-aac 2.0.2-1
libffi 3.4.2-5
libfontenc 1.1.4-3
libfreeaptx 0.1.1-1
libgcrypt 1.10.1-1
libglvnd 1.4.0-2
libgpg-error 1.45-1
libgudev 237-2
libheif 1.12.0-3
libice 1.0.10-4
libidn2 2.3.2-1
libiec61883 1.2.0-6.1
libinput 1.20.1-1.1
libisl 0.24-4
libjpeg-turbo 2.1.3-2
libksba 1.6.0-1
libldac 2.0.2.3-1
libldap 2.6.2-2
liblqr 0.4.2-3.1
libluv 1.43.0_0-1
libmfx 22.3.0-1
libmnl 1.0.5-1
libmodplug 0.8.9.0-3.1
libmpc 1.2.1-2
libmpdclient 2.20-2
libnetfilter_conntrack 1.0.9-1
libnfnetlink 1.0.2-1
libnftnl 1.2.1-1
libnghttp2 1.47.0-1
libnl 3.6.0-3
libnotify 0.7.12-1
libnsl 2.0.0-2
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3.1
libp11-kit 0.24.1-1
libpaper 1.1.28-2
libpcap 1.10.1-2
libpciaccess 0.16-3
libpng 1.6.37-3
libproxy 0.4.17-7
libpsl 0.21.1-1
libpulse 16.0-1
libraqm 0.9.0-1
libraw1394 2.1.2-3.1
librsvg 2:2.54.3-1
librsync 1:2.3.2-1
libsamplerate 0.2.2-1
libsasl 2.1.28-1
libseccomp 2.5.4-1
libsecret 0.20.5-2
libsigc++ 2.10.8-1
libsigsegv 2.14-1
libsm 1.2.3-3
libsndfile 1.1.0-2
libsoup 2.74.2-2
libsoxr 0.1.3-2.1
libspiro 1:20200505-2
libssh 0.9.6-1
libssh2 1.10.0-1
libsynctex 2022.62885-1
libsysprof-capture 3.44.0-1
libtasn1 4.18.0-1
libtermkey 0.22-2
libthai 0.1.29-1
libtheora 1.1.1-5.1
libtiff 4.3.0-2
libtirpc 1.3.2-1
libtool 2.4.7-2
libudev 251.2-1
libuninameslist 20211114-1
libunistring 1.0-1
libunwind 1.6.2-1
libusb 1.0.26-1
libutempter 1.2.1-2
libutf8proc 2.7.0-2
libuv 1.43.0-1
libva 2.14.0-1
libvdpau 1.5-1
libvorbis 1.3.7-3
libvpx 1.11.0-2
libvterm01 0.1.4-2
libwacom 2.2.0-1.1
libwebp 1.2.2-1
libx11 1.8-1.1
libxau 1.0.9-4
libxaw 1.0.14-1
libxcb 1.15-1
libxcomposite 0.4.5-4
libxcrypt 4.4.28-2
libxcursor 1.2.1-1
libxcvt 0.1.1-1
libxdamage 1.1.5-4
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-4
libxext 1.3.4-4
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-4
libxkbcommon 1.4.1-1
libxkbcommon-x11 1.4.1-1
libxkbfile 1.1.0-3
libxml2 2.9.14-1
libxmu 1.1.3-3
libxpm 3.5.13-3
libxrandr 1.5.2-4
libxrender 0.9.10-5
libxshmfence 1.3-3
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.3-5
libxv 1.0.11-5
libxxf86vm 1.1.4-5
libyuv r2322+3aebf69d-1
licenses 20220125-1
lilv 0.24.12-4
linux-api-headers 5.17.5-2
linux-firmware 20220509.b19cbdc-1
linux-firmware-whence 20220509.b19cbdc-1
linux-lts 5.15.43-1
llvm-libs 13.0.1-6
lm_sensors 1:3.6.0.r41.g31d1f125-1
lua 5.4.4-1
luajit 2.1.0.beta3.r411.g68bb1140-1
luit 20220111-1
lv2 1.18.2-1
lxappearance 0.6.3-4
lxsession 1:0.5.5-1
lz4 1:1.9.3-2
lzo 2.10-3.1
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3.1
matcha-gtk-theme 2021.12.25-1
md4c 0.4.8-1
mesa 22.0.4-1
mkinitcpio 31-2
mkinitcpio-busybox 1.35.0-1
mpfr 4.1.0.p13-2
msgpack-c 4.0.0-1
mtdev 1.1.6-2
ncurses 6.3-3
neofetch 7.1.0-2
neovim 0.7.0-3
nerd-fonts-fira-code 2.1.0-2
nerd-fonts-sf-mono 2.1.0-8
netifrc 0.7.3-3
nettle 3.7.3-1
nitrogen 1.6.1-4
noto-fonts 20220502-3
npth 1.6-3
nspr 4.34-1
nss 3.79-1
nvflash 5.728-1
opencore-amr 0.1.5-5
openjpeg2 2.5.0-1
openrc 0.44.10-1
openssl 1.1.1.o-1
opus 1.3.1-3
os-prober 1.79-1
p11-kit 0.24.1-1
p7zip 1:17.04-3
pacman 6.0.1-5
pam 1.5.2-1
pambase 20211210-1
pango 1:1.50.7-1
pangomm 2.46.2-1
papirus-icon-theme 20220508-1
parallel 20220522-1
paru 1.10.0-1
patch 2.7.6-9.1
pciutils 3.8.0-1
pcre 8.45-1
pcre2 10.40-1
perl 5.36.0-1
perl-error 0.17029-4
perl-mailtools 2.21-6
perl-timedate 2.33-4
picom 9.1-3
pinentry 1.2.0-1
pipewire 1:0.3.51-1
pipewire-alsa 1:0.3.51-1
pipewire-jack 1:0.3.51-1
pipewire-pulse 1:0.3.51-1
pixman 0.40.0-2
pkgconf 1.8.0-1
polkit 0.120-5
polybar 3.6.3-2
poppler 22.06.0-1
popt 1.18-3
potrace 1.16-2.1
procps-ng 3.3.17-1
psmisc 23.5-1
python 3.10.4-2
python-appdirs 1.4.4-6
python-cachecontrol 1:0.12.6-4
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-colorama 0.4.4-6
python-contextlib2 0.6.0.post1-6
python-cryptography 37.0.2-1
python-distlib 0.3.4-1
python-distro 1.7.0-1
python-greenlet 1.1.2-3
python-html5lib 1.1-11
python-i3ipc 2.2.1-3
python-idna 3.3-4
python-more-itertools 8.12.0-2
python-msgpack 1.0.3-1
python-ordered-set 4.0.2-6
python-packaging 21.3-1
python-pep517 0.12.0-4
python-pip 21.0-1
python-ply 3.11-10
python-progress 1.6-5
python-pycparser 2.21-3
python-pynvim 0.4.3-2
python-pyopenssl 22.0.0-1
